2022-03-13 02:55:36.335 UTC,,,49937,,622d5d28.c311,1,,2022-03-13 02:55:36 UTC,,0,LOG,00000,"ending log output to stderr",,"Future log output will go to log destination ""csvlog"".",,,,,,,"","postmaster",,0
2022-03-13 02:55:36.335 UTC,,,49937,,622d5d28.c311,2,,2022-03-13 02:55:36 UTC,,0,LOG,00000,"starting PostgreSQL 14.2 (Ubuntu 14.2-1.pgdg20.04+1) on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 9.3.0-17ubuntu1~20.04) 9.3.0, 64-bit",,,,,,,,,"","postmaster",,0
2022-03-13 02:55:36.335 UTC,,,49937,,622d5d28.c311,3,,2022-03-13 02:55:36 UTC,,0,LOG,00000,"listening on IPv4 address ""127.0.0.1"", port 5432",,,,,,,,,"","postmaster",,0
2022-03-13 02:55:36.338 UTC,,,49937,,622d5d28.c311,4,,2022-03-13 02:55:36 UTC,,0,LOG,00000,"listening on Unix socket ""/var/run/postgresql/.s.PGSQL.5432""",,,,,,,,,"","postmaster",,0
2022-03-13 02:55:36.344 UTC,,,49939,,622d5d28.c313,1,,2022-03-13 02:55:36 UTC,,0,LOG,00000,"database system was shut down at 2022-03-13 02:55:36 UTC",,,,,,,,,"","startup",,0
2022-03-13 02:55:36.354 UTC,,,49937,,622d5d28.c311,5,,2022-03-13 02:55:36 UTC,,0,LOG,00000,"database system is ready to accept connections",,,,,,,,,"","postmaster",,0
2022-03-13 02:55:36.945 UTC,,,49946,"[local]",622d5d28.c31a,1,"",2022-03-13 02:55:36 UTC,,0,LOG,00000,"connection received: host=[local]",,,,,,,,,"","not initialized",,0
2022-03-13 02:55:37.452 UTC,,,49967,"[local]",622d5d29.c32f,1,"",2022-03-13 02:55:37 UTC,,0,LOG,00000,"connection received: host=[local]",,,,,,,,,"","not initialized",,0
2022-03-13 02:55:37.453 UTC,"postgres","template1",49967,"[local]",622d5d29.c32f,2,"authentication",2022-03-13 02:55:37 UTC,3/1,0,LOG,00000,"connection authenticated: identity=""postgres"" method=peer (/etc/postgresql/14/main/pg_hba.conf:90)",,,,,,,,,"","client backend",,0
2022-03-13 02:55:37.453 UTC,"postgres","template1",49967,"[local]",622d5d29.c32f,3,"authentication",2022-03-13 02:55:37 UTC,3/1,0,LOG,00000,"connection authorized: user=postgres database=template1 application_name=psql",,,,,,,,,"","client backend",,0
2022-03-13 02:55:37.456 UTC,"postgres","template1",49967,"[local]",622d5d29.c32f,4,"idle",2022-03-13 02:55:37 UTC,3/2,0,LOG,00000,"statement: ",,,,,,,,,"psql","client backend",,0
2022-03-13 02:55:37.457 UTC,"postgres","template1",49967,"[local]",622d5d29.c32f,5,"idle",2022-03-13 02:55:37 UTC,,0,LOG,00000,"disconnection: session time: 0:00:00.004 user=postgres database=template1 host=[local]",,,,,,,,,"psql","client backend",,0
2022-03-13 02:55:37.965 UTC,,,49970,"[local]",622d5d29.c332,1,"",2022-03-13 02:55:37 UTC,,0,LOG,00000,"connection received: host=[local]",,,,,,,,,"","not initialized",,0
